year,month,day,gender,births
1985,12,4253,M,4253
1988,1,4253,M,4253
1988,4,4253,M,4253
1973,10,4254,M,4254
1975,2,4254,M,4254
1975,11,4254,M,4254
1983,5,4254,M,4254
1984,2,4254,M,4254
1976,9,4255,M,4255
1979,6,4255,M,4255
1984,1,4257,M,4257
1984,2,4257,M,4257
1985,10,4257,M,4257
1988,3,4257,M,4257
1972,9,4258,M,4258
1974,5,4258,M,4258
1980,11,4258,M,4258
1984,5,4258,M,4258
1985,1,4258,M,4258
1975,5,4259,M,4259
1973,4,4260,M,4260
1979,3,4260,M,4260
1988,1,4260,M,4260
1979,3,4261,M,4261
1970,5,4262,M,4262
1976,8,4262,M,4262
1981,1,4262,M,4262
1981,3,4262,M,4262
1982,12,4262,M,4262
1984,12,4262,M,4262
1978,12,4263,M,4263
1979,11,4263,M,4263
1979,12,4263,M,4263
1988,12,4263,M,4263
1978,7,4264,M,4264
1976,4,4265,M,4265
1974,10,4266,M,4266
1981,1,4266,M,4266
1976,4,4267,M,4267
1976,7,4267,M,4267
1983,2,4267,M,4267
1969,6,4268,M,4268
1976,10,4268,M,4268
1977,8,4268,M,4268
1979,5,4268,M,4268
1988,12,4269,M,4269
1976,3,4270,M,4270
1985,3,4270,M,4270
1986,11,4270,M,4270
1978,10,4271,M,4271
1981,4,4271,M,4271
1987,4,4271,M,4271
1970,4,4272,M,4272
1977,11,4272,M,4272
1980,4,4272,M,4272
1982,3,4272,M,4272
1974,1,4273,M,4273
1974,7,4273,M,4273
1981,5,4273,M,4273
1971,11,4274,M,4274
1977,7,4274,M,4274
1979,10,4274,M,4274
1977,7,4275,M,4275
1980,1,4275,M,4275
1981,5,4275,M,4275
1976,9,4276,M,4276
1984,5,4276,M,4276
1986,12,4276,M,4276
1988,2,4276,M,4276
1982,4,4277,M,4277
1984,2,4277,M,4277
1974,1,4278,M,4278
1975,8,4278,M,4278
1982,1,4278,M,4278
1987,12,4278,M,4278
1976,1,4280,M,4280
1978,2,4280,M,4280
1976,5,4281,M,4281
1976,7,4281,M,4281
1979,5,4281,M,4281
1982,12,4281,M,4281
1974,4,4282,M,4282
1982,12,4282,M,4282
1983,4,4283,M,4283
1985,11,4283,M,4283
1978,11,4284,M,4284
1980,3,4284,M,4284
1973,6,4285,M,4285
1986,2,4285,M,4285
1970,3,4286,M,4286
1973,2,4286,M,4286
1973,7,4286,M,4286
1985,1,4286,M,4286
1975,7,4287,M,4287
1978,7,4287,M,4287
1981,2,4287,M,4287
1981,12,4287,M,4287
1971,8,4288,M,4288
1973,5,4288,M,4288
1973,4,4289,M,4289
1973,9,4289,M,4289
1978,10,4289,M,4289
1986,3,4289,M,4289
1986,4,4289,M,4289
1987,3,4289,M,4289
1971,5,4290,M,4290
1988,1,4290,M,4290
1972,11,4291,M,4291
1975,10,4291,M,4291
1977,9,4291,M,4291
1978,10,4291,M,4291
1984,4,4291,M,4291
1986,5,4291,M,4291
1986,11,4291,M,4291
1973,4,4292,M,4292
1973,8,4292,M,4292
1973,12,4292,M,4292
1977,8,4292,M,4292
1981,11,4292,M,4292
1972,12,4293,M,4293
1981,12,4293,M,4293
1982,4,4293,M,4293
1987,5,4293,M,4293
1971,12,4294,M,4294
1973,9,4294,M,4294
1979,6,4294,M,4294
1986,11,4294,M,4294
1976,4,4295,M,4295
1980,5,4295,M,4295
1985,4,4295,M,4295
1975,5,4296,M,4296
1977,12,4296,M,4296
1981,1,4296,M,4296
1983,4,4296,M,4296
1987,3,4296,M,4296
1987,5,4296,M,4296
1978,12,4297,M,4297
1980,3,4297,M,4297
1983,3,4297,M,4297
1985,12,4297,M,4297
1976,3,4299,M,4299
1978,9,4300,M,4300
1984,5,4300,M,4300
1987,11,4300,M,4300
1979,5,4301,M,4301
1981,11,4301,M,4301
1974,1,4302,M,4302
1987,6,4302,M,4302
1976,3,4303,M,4303
1981,11,4303,M,4303
1984,4,4303,M,4303
1979,12,4304,M,4304
1987,11,4305,M,4305
1988,1,4305,M,4305
1988,4,4305,M,4305
1975,8,4306,M,4306
1979,3,4306,M,4306
1980,5,4306,M,4306
1982,1,4306,M,4306
1983,10,4306,M,4306
1986,11,4306,M,4306
1973,7,4307,M,4307
1981,4,4307,M,4307
1970,1,4308,M,4308
1987,11,4308,M,4308
1981,4,4309,M,4309
1982,5,4309,M,4309
1984,5,4309,M,4309
1980,4,4310,M,4310
1987,12,4310,M,4310
1974,8,4311,M,4311
1983,1,4311,M,4311
1983,11,4311,M,4311
1973,1,4312,M,4312
1980,4,4312,M,4312
1984,12,4313,M,4313
1986,5,4314,M,4314
1972,2,4315,M,4315
1972,2,4315,M,4315
1981,5,4315,M,4315
1986,12,4315,M,4315
1973,5,4316,M,4316
1977,3,4316,M,4316
1981,1,4316,M,4316
1988,11,4316,M,4316
1974,4,4317,M,4317
1975,1,4318,M,4318
1975,4,4319,M,4319
1978,12,4319,M,4319
1982,6,4319,M,4319
1971,6,4320,M,4320
1985,3,4320,M,4320
1987,12,4320,M,4320
1976,2,4321,M,4321
1976,6,4321,M,4321
1988,11,4321,M,4321
1974,3,4322,M,4322
1980,4,4322,M,4322
1982,2,4322,M,4322
1982,5,4322,M,4322
1974,4,4323,M,4323
1974,5,4323,M,4323
1974,11,4323,M,4323
1984,3,4323,M,4323
1988,5,4323,M,4323
1969,1,4324,M,4324
1973,5,4324,M,4324
1975,9,4324,M,4324
1976,4,4324,M,4324
1979,11,4324,M,4324
1982,3,4324,M,4324
1972,11,4325,M,4325
1975,4,4325,M,4325
1983,5,4325,M,4325
1986,6,4325,M,4325
1971,10,4326,M,4326
1971,11,4326,M,4326
1979,12,4326,M,4326
1981,2,4326,M,4326
1988,3,4326,M,4326
1975,3,4327,M,4327
1982,1,4327,M,4327
1982,5,4327,M,4327
1983,4,4327,M,4327
1988,3,4327,M,4327
1974,1,4328,M,4328
1983,2,4328,M,4328
1974,4,4329,M,4329
1979,10,4329,M,4329
1985,12,4329,M,4329
1987,2,4329,M,4329
1973,7,4330,M,4330
1974,2,4330,M,4330
1979,1,4331,M,4331
1984,1,4332,M,4332
1986,1,4332,M,4332
1987,12,4332,M,4332
1973,4,4333,M,4333
1976,5,4333,M,4333
1980,5,4333,M,4333
1983,5,4333,M,4333
1971,10,4334,M,4334
1973,10,4334,M,4334
1979,6,4334,M,4334
1981,11,4334,M,4334
1982,11,4334,M,4334
1972,7,4335,M,4335
1973,9,4335,M,4335
1979,12,4335,M,4335
1980,3,4336,M,4336
1980,12,4336,M,4336
1982,1,4336,M,4336
1983,11,4336,M,4336
1978,8,4337,M,4337
1969,1,4338,M,4338
1971,12,4338,M,4338
1971,12,4338,M,4338
1978,8,4338,M,4338
1979,3,4338,M,4338
1974,1,4339,M,4339
1975,1,4339,M,4339
1984,11,4339,M,4339
1974,4,4340,M,4340
1978,9,4340,M,4340
1972,8,4341,M,4341
1977,6,4341,M,4341
1983,2,4341,M,4341
1983,2,4341,M,4341
1972,7,4342,M,4342
1975,8,4342,M,4342
1981,3,4342,M,4342
1980,4,4343,M,4343
1983,10,4343,M,4343
1984,5,4343,M,4343
1987,2,4344,M,4344
1976,4,4345,M,4345
1979,7,4345,M,4345
1984,12,4345,M,4345
1985,5,4345,M,4345
1988,1,4345,M,4345
1972,4,4346,M,4346
1974,4,4346,M,4346
1983,10,4346,M,4346
1974,8,4347,M,4347
1974,8,4347,M,4347
1975,10,4347,M,4347
1976,4,4347,M,4347
1980,12,4347,M,4347
1981,1,4347,M,4347
1986,6,4348,M,4348
1976,2,4349,M,4349
1984,3,4349,M,4349
1976,12,4350,M,4350
1984,12,4350,M,4350
1976,5,4351,M,4351
1980,3,4351,M,4351
1980,12,4351,M,4351
1982,11,4351,M,4351
1984,1,4351,M,4351
1986,12,4351,M,4351
1975,9,4352,M,4352
1972,7,4353,M,4353
1974,7,4353,M,4353
1975,12,4353,M,4353
1976,3,4353,M,4353
1977,7,4353,M,4353
1979,6,4353,M,4353
1982,3,4353,M,4353
1984,6,4353,M,4353
1986,10,4353,M,4353
1976,4,4354,M,4354
1980,4,4354,M,4354
1985,2,4354,M,4354
1981,5,4355,M,4355
1984,5,4355,M,4355
1988,11,4355,M,4355
1969,6,4356,M,4356
1974,2,4356,M,4356
1974,9,4356,M,4356
1975,1,4356,M,4356
1976,5,4356,M,4356
1981,1,4356,M,4356
1982,11,4356,M,4356
1973,5,4357,M,4357
1985,3,4357,M,4357
1971,7,4358,M,4358
1974,7,4358,M,4358
1975,11,4358,M,4358
1976,6,4359,M,4359
1978,12,4359,M,4359
1981,3,4359,M,4359
1983,6,4359,M,4359
1970,4,4360,M,4360
1970,12,4360,M,4360
1975,3,4360,M,4360
1981,11,4360,M,4360
1974,4,4361,M,4361
1976,4,4361,M,4361
1976,5,4361,M,4361
1986,2,4361,M,4361
1969,3,4362,M,4362
1975,10,4362,M,4362
1976,3,4362,M,4362
1974,4,4363,M,4363
1982,10,4363,M,4363
1969,4,4364,M,4364
1971,3,4364,M,4364
1974,1,4364,M,4364
1979,8,4364,M,4364
1982,2,4365,M,4365
1983,3,4365,M,4365
1983,6,4365,M,4365
1987,11,4365,M,4365
1975,4,4366,M,4366
1976,3,4366,M,4366
1983,1,4366,M,4366
1985,12,4366,M,4366
1974,1,4367,M,4367
1974,1,4367,M,4367
1976,5,4367,M,4367
1984,11,4367,M,4367
1985,2,4367,M,4367
1975,3,4368,M,4368
1975,11,4368,M,4368
1976,3,4368,M,4368
1977,2,4368,M,4368
1986,6,4368,M,4368
1987,1,4368,M,4368
1987,3,4368,M,4368
1980,5,4369,M,4369
1981,5,4369,M,4369
1981,12,4369,M,4369
1984,2,4369,M,4369
1969,11,4370,M,4370
1971,5,4370,M,4370
1973,11,4370,M,4370
1974,6,4370,M,4370
1975,4,4370,M,4370
1975,12,4370,M,4370
1976,4,4370,M,4370
1976,9,4370,M,4370
1974,6,4371,M,4371
1982,3,4371,M,4371
1984,3,4371,M,4371
1973,4,4372,M,4372
1978,8,4372,M,4372
1981,3,4372,M,4372
1974,2,4373,M,4373
1975,5,4373,M,4373
1978,9,4373,M,4373
1981,2,4373,M,4373
1986,3,4373,M,4373
1986,10,4373,M,4373
1978,9,4374,M,4374
1983,4,4374,M,4374
1987,2,4374,M,4374
1974,5,4375,M,4375
1976,1,4375,M,4375
1976,5,4375,M,4375
1981,3,4375,M,4375
1986,3,4375,M,4375
1969,3,4376,M,4376
1979,10,4376,M,4376
1983,3,4376,M,4376
1984,4,4376,M,4376
1973,1,4377,M,4377
1974,5,4377,M,4377
1975,3,4377,M,4377
1974,8,4378,M,4378
1981,11,4378,M,4378
1985,11,4378,M,4378
1986,2,4378,M,4378
1987,1,4378,M,4378
1976,1,4379,M,4379
1983,2,4379,M,4379
1984,3,4379,M,4379
1972,3,4380,M,4380
1978,10,4380,M,4380
1983,4,4380,M,4380
1976,3,4381,M,4381
1977,2,4381,M,4381
1979,7,4381,M,4381
1983,10,4381,M,4381
1971,5,4382,M,4382
1978,8,4382,M,4382
1981,2,4382,M,4382
1982,4,4382,M,4382
1973,4,4383,M,4383
1969,5,4384,M,4384
1970,6,4384,M,4384
1971,5,4384,M,4384
1979,3,4384,M,4384
1979,10,4384,M,4384
1981,6,4384,M,4384
1974,12,4385,M,4385
1970,6,4386,M,4386
1973,5,4386,M,4386
1974,9,4386,M,4386
1975,1,4386,M,4386
1983,11,4386,M,4386
1984,12,4386,M,4386
1974,4,4387,M,4387
1976,2,4387,M,4387
1988,4,4387,M,4387
1971,7,4388,M,4388
1976,4,4389,M,4389
1978,7,4390,M,4390
1980,6,4390,M,4390
1986,7,4390,M,4390
1976,4,4391,M,4391
1972,9,4392,M,4392
1981,12,4392,M,4392
1983,1,4392,M,4392
1986,2,4392,M,4392
1986,5,4392,M,4392
1973,4,4393,M,4393
1974,8,4393,M,4393
1979,10,4393,M,4393
1982,1,4393,M,4393
1974,3,4394,M,4394
1976,3,4394,M,4394
1983,7,4394,M,4394
1984,6,4394,M,4394
1987,10,4394,M,4394
1976,6,4395,M,4395
1981,10,4395,M,4395
1984,7,4395,M,4395
1985,12,4395,M,4395
1987,5,4395,M,4395
1973,7,4396,M,4396
1976,1,4396,M,4396
1979,1,4396,M,4396
1984,12,4396,M,4396
1973,1,4397,M,4397
1973,11,4397,M,4397
1976,8,4397,M,4397
1981,10,4397,M,4397
1974,3,4398,M,4398
1975,9,4398,M,4398
1978,4,4398,M,4398
1981,6,4398,M,4398
1983,5,4398,M,4398
1972,4,4399,M,4399
1972,9,4399,M,4399
1974,1,4399,M,4399
1974,3,4399,M,4399
1982,5,4399,M,4399
1985,10,4399,M,4399
1987,4,4399,M,4399
1974,3,4400,M,4400
1979,11,4400,M,4400
1985,12,4400,M,4400
1976,3,4401,M,4401
1976,5,4401,M,4401
1976,9,4401,M,4401
1978,10,4401,M,4401
1980,2,4401,M,4401
1985,3,4401,M,4401
1976,2,4402,M,4402
1986,10,4403,M,4403
1972,7,4404,M,4404
1973,11,4404,M,4404
1973,12,4404,M,4404
1973,4,4405,M,4405
1974,6,4405,M,4405
1986,3,4405,M,4405
1987,12,4405,M,4405
1969,2,4406,M,4406
1971,1,4406,M,4406
1974,1,4406,M,4406
1972,2,4407,M,4407
1973,4,4407,M,4407
1974,4,4407,M,4407
1975,1,4407,M,4407
1983,3,4407,M,4407
1988,3,4407,M,4407
1988,5,4407,M,4407
1975,2,4408,M,4408
1980,3,4408,M,4408
1984,4,4408,M,4408
1985,3,4408,M,4408
1978,9,4409,M,4409
1987,6,4409,M,4409
1988,12,4409,M,4409
1988,12,4409,M,4409
1974,9,4410,M,4410
1984,11,4410,M,4410
1973,11,4411,M,4411
1975,12,4411,M,4411
1977,8,4411,M,4411
1979,11,4411,M,4411
1982,1,4411,M,4411
1972,3,4412,M,4412
1975,6,4412,M,4412
1980,11,4412,M,4412
1986,3,4412,M,4412
1973,5,4413,M,4413
1974,11,4413,M,4413
1976,2,4413,M,4413
1976,2,4413,M,4413
1981,5,4413,M,4413
1970,6,4414,M,4414
1971,10,4414,M,4414
1973,11,4414,M,4414
1976,2,4414,M,4414
1980,12,4414,M,4414
1975,11,4415,M,4415
1976,3,4415,M,4415
1976,3,4415,M,4415
1977,9,4415,M,4415
1985,5,4415,M,4415
1969,2,4416,M,4416
1975,10,4416,M,4416
1979,2,4416,M,4416
1983,4,4416,M,4416
1986,6,4416,M,4416
1972,6,4417,M,4417
1973,5,4417,M,4417
1975,5,4417,M,4417
1978,11,4417,M,4417
1980,3,4417,M,4417
1984,11,4417,M,4417
1987,8,4417,M,4417
1972,1,4418,M,4418
1973,5,4418,M,4418
1974,12,4418,M,4418
1979,3,4418,M,4418
1983,12,4418,M,4418
1984,2,4418,M,4418
1975,4,4419,M,4419
1982,5,4419,M,4419
1971,6,4420,M,4420
1976,4,4420,M,4420
1976,9,4420,M,4420
1976,10,4420,M,4420
1979,6,4420,M,4420
1983,1,4420,M,4420
1986,5,4420,M,4420
1988,2,4420,M,4420
1974,2,4421,M,4421
1974,3,4421,M,4421
1975,4,4421,M,4421
1975,10,4421,M,4421
1976,9,4421,M,4421
1985,1,4421,M,4421
1988,10,4421,M,4421
1971,2,4422,M,4422
1971,8,4422,M,4422
1974,6,4422,M,4422
1973,10,4423,M,4423
1985,1,4423,M,4423
1981,12,4424,M,4424
1975,11,4425,M,4425
1978,7,4425,M,4425
1973,5,4426,M,4426
1975,6,4426,M,4426
1977,8,4426,M,4426
1979,7,4426,M,4426
1980,1,4426,M,4426
1973,10,4427,M,4427
1981,11,4427,M,4427
1984,10,4427,M,4427
1986,4,4427,M,4427
1971,11,4428,M,4428
1973,6,4428,M,4428
1973,11,4428,M,4428
1974,1,4428,M,4428
1979,6,4428,M,4428
1980,12,4428,M,4428
1984,1,4428,M,4428
1974,2,4429,M,4429
1975,5,4429,M,4429
1976,1,4429,M,4429
1985,11,4429,M,4429
1987,1,4429,M,4429
1969,12,4430,M,4430
1972,2,4430,M,4430
1976,3,4430,M,4430
1981,10,4430,M,4430
1985,5,4430,M,4430
1974,5,4431,M,4431
1973,3,4432,M,4432
1974,5,4432,M,4432
1980,10,4432,M,4432
1976,3,4433,M,4433
1976,3,4433,M,4433
1977,7,4433,M,4433
1984,11,4433,M,4433
1985,11,4433,M,4433
1986,6,4433,M,4433
1982,6,4434,M,4434
1983,2,4434,M,4434
1987,6,4434,M,4434
1987,11,4434,M,4434
1975,10,4435,M,4435
1982,11,4435,M,4435
1987,10,4435,M,4435
1980,2,4436,M,4436
1980,11,4436,M,4436
1978,9,4437,M,4437
1979,1,4437,M,4437
1987,7,4437,M,4437
1988,6,4437,M,4437
1988,11,4437,M,4437
1970,5,4438,M,4438
1970,11,4438,M,4438
1973,6,4438,M,4438
1974,3,4438,M,4438
1977,10,4438,M,4438
1981,4,4438,M,4438
1984,11,4438,M,4438
1973,5,4439,M,4439
1976,8,4439,M,4439
1978,7,4439,M,4439
1988,10,4439,M,4439
1969,1,4440,M,4440
1972,3,4440,M,4440
1975,2,4440,M,4440
1976,3,4440,M,4440
1982,2,4440,M,4440
1986,8,4440,M,4440
1974,4,4441,M,4441
1974,4,4441,M,4441
1974,5,4441,M,4441
1969,2,4442,M,4442
1970,5,4442,M,4442
1975,4,4442,M,4442
1981,1,4442,M,4442
1981,6,4442,M,4442
1986,4,4442,M,4442
1972,7,4443,M,4443
1974,5,4443,M,4443
1980,11,4443,M,4443
1988,1,4443,M,4443
1969,5,4444,M,4444
1971,3,4444,M,4444
1978,7,4444,M,4444
1984,6,4444,M,4444
1972,6,4445,M,4445
1972,9,4445,M,4445
1973,6,4445,M,4445
1973,9,4445,M,4445
1975,11,4445,M,4445
1987,4,4445,M,4445
1973,11,4446,M,4446
1974,4,4446,M,4446
1982,2,4446,M,4446
1982,3,4446,M,4446
1986,5,4446,M,4446
1973,4,4447,M,4447
1975,2,4447,M,4447
1980,5,4447,M,4447
1982,1,4447,M,4447
1985,10,4447,M,4447
1974,6,4448,M,4448
1977,10,4448,M,4448
1988,6,4448,M,4448
1981,6,4449,M,4449
1983,6,4449,M,4449
1972,12,4450,M,4450
1974,2,4450,M,4450
1976,5,4450,M,4450
1986,12,4450,M,4450
1972,9,4451,M,4451
1975,1,4451,M,4451
1982,12,4451,M,4451
1969,1,4452,M,4452
1971,11,4452,M,4452
1972,6,4452,M,4452
1979,7,4452,M,4452
1973,1,4453,M,4453
1976,5,4453,M,4453
1979,1,4453,M,4453
1985,11,4453,M,4453
1988,1,4453,M,4453
1972,12,4454,M,4454
1974,3,4454,M,4454
1987,7,4454,M,4454
1988,6,4454,M,4454
1973,11,4456,M,4456
1975,1,4456,M,4456
1976,9,4456,M,4456
1982,5,4456,M,4456
1983,5,4456,M,4456
1985,4,4456,M,4456
1973,1,4457,M,4457
1975,1,4457,M,4457
1981,10,4457,M,4457
1982,10,4457,M,4457
1988,11,4457,M,4457
1975,4,4458,M,4458
1982,2,4458,M,4458
1973,4,4459,M,4459
1983,9,4459,M,4459
1971,10,4460,M,4460
1972,7,4460,M,4460
1976,1,4460,M,4460
1978,8,4460,M,4460
1980,1,4460,M,4460
1981,2,4460,M,4460
1988,5,4460,M,4460
1975,4,4461,M,4461
1976,4,4461,M,4461
1983,5,4461,M,4461
1970,5,4462,M,4462
1970,6,4462,M,4462
1973,11,4462,M,4462
1976,3,4462,M,4462
1974,6,4463,M,4463
1975,6,4463,M,4463
1976,5,4463,M,4463
1982,10,4463,M,4463
1972,4,4464,M,4464
1975,1,4464,M,4464
1983,1,4464,M,4464
1986,11,4464,M,4464
1972,3,4465,M,4465
1972,8,4465,M,4465
1972,11,4465,M,4465
1973,4,4465,M,4465
1973,5,4465,M,4465
1976,5,4465,M,4465
1980,1,4465,M,4465
1983,10,4465,M,4465
1985,11,4465,M,4465
1971,3,4466,M,4466
1971,7,4466,M,4466
1972,5,4466,M,4466
1973,11,4466,M,4466
1977,9,4466,M,4466
1985,1,4466,M,4466
1975,8,4467,M,4467
1975,10,4467,M,4467
1982,5,4467,M,4467
1983,1,4467,M,4467
1983,3,4467,M,4467
1973,4,4468,M,4468
1974,2,4468,M,4468
1980,12,4468,M,4468
1975,11,4469,M,4469
1975,11,4469,M,4469
1978,9,4469,M,4469
1981,12,4469,M,4469
1988,12,4469,M,4469
1972,1,4470,M,4470
1975,2,4470,M,4470
1979,10,4470,M,4470
1979,11,4470,M,4470
1979,12,4470,M,4470
1980,6,4470,M,4470
1985,4,4470,M,4470
1986,7,4470,M,4470
1972,9,4471,M,4471
1973,2,4471,M,4471
1974,11,4471,M,4471
1975,2,4471,M,4471
1975,4,4471,M,4471
1976,2,4471,M,4471
1978,4,4471,M,4471
1985,2,4471,M,4471
1986,5,4471,M,4471
1986,6,4471,M,4471
1969,6,4472,M,4472
1972,4,4472,M,4472
1972,6,4472,M,4472
1973,1,4472,M,4472
1974,5,4472,M,4472
1975,5,4472,M,4472
1979,2,4472,M,4472
1979,2,4472,M,4472
1982,1,4472,M,4472
1983,10,4472,M,4472
1972,7,4473,M,4473
1974,2,4473,M,4473
1974,3,4473,M,4473
1988,2,4473,M,4473
1988,2,4473,M,4473
1974,3,4474,M,4474
1975,6,4474,M,4474
1973,12,4475,M,4475
1978,9,4475,M,4475
1969,6,4476,M,4476
1973,3,4476,M,4476
1973,5,4476,M,4476
1976,4,4476,M,4476
1980,1,4477,M,4477
1985,5,4477,M,4477
1987,1,4477,M,4477
1971,5,4478,M,4478
1973,3,4478,M,4478
1973,10,4478,M,4478
1974,4,4478,M,4478
1982,2,4478,M,4478
1975,1,4479,M,4479
1982,4,4479,M,4479
1969,2,4480,M,4480
1970,1,4480,M,4480
1973,10,4480,M,4480
1974,3,4480,M,4480
1975,1,4480,M,4480
1978,4,4480,M,4480
1983,6,4480,M,4480
1975,3,4481,M,4481
1984,10,4481,M,4481
1987,8,4481,M,4481
1970,11,4482,M,4482
1974,1,4482,M,4482
1975,10,4482,M,4482
1977,8,4482,M,4482
1981,10,4482,M,4482
1987,8,4482,M,4482
1973,3,4483,M,4483
1975,6,4483,M,4483
1976,2,4483,M,4483
1980,5,4483,M,4483
1980,10,4483,M,4483
1985,4,4483,M,4483
1986,6,4483,M,4483
1973,5,4484,M,4484
1973,12,4484,M,4484
1975,12,4484,M,4484
1982,11,4484,M,4484
1987,8,4484,M,4484
1973,2,4485,M,4485
1975,11,4485,M,4485
1976,2,4485,M,4485
1984,2,4485,M,4485
1985,10,4485,M,4485
1971,10,4486,M,4486
1972,2,4486,M,4486
1972,10,4486,M,4486
1973,4,4486,M,4486
1974,2,4486,M,4486
1976,6,4486,M,4486
1980,11,4486,M,4486
1980,11,4486,M,4486
1987,4,4486,M,4486
1988,12,4486,M,4486
1973,3,4487,M,4487
1973,10,4487,M,4487
1974,6,4487,M,4487
1974,10,4487,M,4487
1978,10,4487,M,4487
1982,3,4487,M,4487
1983,3,4487,M,4487
1986,11,4487,M,4487
1970,3,4488,M,4488
1973,1,4488,M,4488
1976,1,4488,M,4488
1977,8,4488,M,4488
1979,12,4488,M,4488
1982,6,4488,M,4488
1984,3,4488,M,4488
1985,4,4488,M,4488
1985,8,4488,M,4488
1972,4,4489,M,4489
1976,1,4489,M,4489
1978,3,4489,M,4489
1982,10,4489,M,4489
1985,2,4489,M,4489
1972,6,4490,M,4490
1972,12,4490,M,4490
1973,3,4490,M,4490
1973,10,4490,M,4490
1974,2,4490,M,4490
1974,2,4490,M,4490
1974,6,4490,M,4490
1976,3,4490,M,4490
1983,4,4490,M,4490
1985,6,4490,M,4490
1987,5,4490,M,4490
1974,2,4491,M,4491
1987,10,4491,M,4491
1970,3,4492,M,4492
1971,7,4492,M,4492
1974,2,4492,M,4492
1978,4,4492,M,4492
1988,5,4492,M,4492
1972,9,4493,M,4493
1969,10,4494,M,4494
1972,4,4494,M,4494
1980,6,4494,M,4494
1983,11,4495,M,4495
1981,11,4496,M,4496
1984,10,4496,M,4496
1985,8,4496,M,4496
1973,10,4497,M,4497
1980,1,4497,M,4497
1970,3,4498,M,4498
1976,2,4498,M,4498
1976,8,4498,M,4498
1980,3,4498,M,4498
1974,1,4499,M,4499
1980,3,4499,M,4499
1970,4,4500,M,4500
1971,12,4500,M,4500
1976,2,4500,M,4500
1976,3,4500,M,4500
1981,6,4500,M,4500
1972,1,4501,M,4501
1975,12,4501,M,4501
1981,1,4501,M,4501
1982,10,4501,M,4501
1987,10,4501,M,4501
1971,3,4502,M,4502
1973,6,4502,M,4502
1975,11,4502,M,4502
1987,5,4502,M,4502
1973,12,4503,M,4503
1977,7,4503,M,4503
1979,11,4503,M,4503
1979,11,4503,M,4503
1981,7,4503,M,4503
1983,6,4503,M,4503
1987,2,4503,M,4503
1982,3,4504,M,4504
1982,12,4504,M,4504
1987,9,4504,M,4504
1973,4,4505,M,4505
1976,5,4505,M,4505
1987,6,4505,M,4505
1970,3,4506,M,4506
1972,5,4506,M,4506
1973,3,4506,M,4506
1974,2,4506,M,4506
1974,10,4507,M,4507
1976,3,4507,M,4507
1980,6,4507,M,4507
1982,11,4507,M,4507
1986,10,4507,M,4507
1987,10,4507,M,4507
1969,10,4508,M,4508
1972,6,4508,M,4508
1980,10,4508,M,4508
1986,3,4508,M,4508
1973,10,4509,M,4509
1975,5,4509,M,4509
1975,10,4509,M,4509
1971,1,4510,M,4510
1971,9,4510,M,4510
1976,1,4510,M,4510
1976,3,4510,M,4510
1976,6,4510,M,4510
1980,3,4510,M,4510
1982,8,4510,M,4510
1984,10,4510,M,4510
1987,5,4510,M,4510
1973,2,4511,M,4511
1981,12,4511,M,4511
1985,3,4511,M,4511
1969,11,4512,M,4512
1975,6,4512,M,4512
1975,6,4512,M,4512
1976,2,4512,M,4512
1980,11,4512,M,4512
1973,1,4513,M,4513
1974,1,4513,M,4513
1978,4,4513,M,4513
1971,3,4514,M,4514
1971,5,4514,M,4514
1971,11,4514,M,4514
1975,1,4514,M,4514
1975,1,4514,M,4514
1979,3,4514,M,4514
1988,1,4514,M,4514
1976,1,4515,M,4515
1976,5,4515,M,4515
1988,5,4515,M,4515
1969,3,4516,M,4516
1972,11,4516,M,4516
1974,11,4516,M,4516
1982,5,4516,M,4516
1983,9,4516,M,4516
1988,12,4516,M,4516
1975,12,4517,M,4517
1986,2,4517,M,4517
1988,3,4517,M,4517
1969,11,4518,M,4518
1974,3,4518,M,4518
1975,1,4518,M,4518
1978,1,4518,M,4518
1985,5,4518,M,4518
1987,5,4518,M,4518
1984,9,4519,M,4519
1969,1,4520,M,4520
1973,4,4520,M,4520
1977,1,4521,M,4521
1977,7,4521,M,4521
1984,10,4521,M,4521
1987,11,4521,M,4521
1973,6,4522,M,4522
1973,11,4522,M,4522
1984,7,4522,M,4522
1986,8,4522,M,4522
1987,3,4522,M,4522
1988,4,4522,M,4522
1969,7,4524,M,4524
1975,4,4524,M,4524
1976,2,4524,M,4524
1978,1,4524,M,4524
1979,9,4524,M,4524
1980,7,4524,M,4524
1985,10,4524,M,4524
1973,2,4525,M,4525
1975,2,4525,M,4525
1982,5,4525,M,4525
1984,10,4525,M,4525
1987,3,4525,M,4525
1972,5,4526,M,4526
1976,2,4526,M,4526
1988,3,4526,M,4526
1972,6,4527,M,4527
1974,3,4527,M,4527
1980,6,4527,M,4527
1980,11,4527,M,4527
1984,2,4527,M,4527
1987,8,4527,M,4527
1969,5,4528,M,4528
1969,11,4528,M,4528
1970,2,4528,M,4528
1970,7,4528,M,4528
1973,3,4528,M,4528
1974,5,4528,M,4528
1980,6,4528,M,4528
1984,3,4528,M,4528
1985,11,4529,M,4529
1971,7,4530,M,4530
1973,5,4530,M,4530
1973,11,4530,M,4530
1974,1,4530,M,4530
1976,1,4530,M,4530
1978,4,4530,M,4530
1980,11,4530,M,4530
1985,6,4530,M,4530
1987,10,4530,M,4530
1976,11,4531,M,4531
